企業名,証券コード,EDINETコード,docID,帳簿価額（元単位）,時価（元単位）,含み益（元単位）,元単位,ソースファイル,注記,帳簿価額_百万円,時価_百万円,含み益_百万円
三菱地所株式会社,8802,E03856,S100VYRJ,4787915.0,9833537.0,5045622.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03856-000_2025-03-31_01_2025-06-25_ixbrl.htm,,4787915.0,9833537.0,5045622.0
住友不動産株式会社,8830,E03907,S100W6AG,4430791.0,8625626.0,4194835.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E03907-000_2025-03-31_01_2025-06-26_ixbrl.htm,開示なし,4430791.0,8625626.0,4194835.0
三井不動産株式会社,8801,E03855,S100VWQS,3807255.0,7492787.0,3685532.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E03855-000_2025-03-31_01_2025-06-25_ixbrl.htm,,3807255.0,7492787.0,3685532.0
東日本旅客鉄道株式会社,9020,E04147,S100VYOS,1054579.0,2861144.0,1806565.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04147-000_2025-03-31_01_2025-06-18_ixbrl.htm,,1054579.0,2861144.0,1806565.0
日本電信電話株式会社,9432,E04430,S100W1FL,1341188.0,2816219.0,1475031.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04430-000_2025-03-31_01_2025-06-20_ixbrl.htm,,1341188.0,2816219.0,1475031.0
株式会社三井住友フィナンシャルグループ,8316,E03614,S100W0S7,9353590.0,10174894.0,821304.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E03614-000_2025-03-31_01_2025-06-20_ixbrl.htm,,9353590.0,10174894.0,821304.0
東急株式会社,9005,E04090,S100W6EI,578655.0,1345771.0,767116.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04090-000_2025-03-31_01_2025-06-27_ixbrl.htm,,578655.0,1345771.0,767116.0
阪急阪神ホールディングス株式会社,9042,E04103,S100VXO3,891108.0,1595244.0,704136.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04103-000_2025-03-31_01_2025-06-16_ixbrl.htm,,891108.0,1595244.0,704136.0
日本郵政株式会社,6178,E31748,S100W03W,886240.0,1509190.0,622950.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E31748-000_2025-03-31_01_2025-06-19_ixbrl.htm,,886240.0,1509190.0,622950.0
イオン株式会社,8267,E03061,S100VTF8,1465637.0,2065465.0,599828.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E03061-000_2025-02-28_01_2025-05-29_ixbrl.htm,,1465637.0,2065465.0,599828.0
西日本旅客鉄道株式会社,9021,E04148,S100VYFN,455651.0,990938.0,535287.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04148-000_2025-03-31_01_2025-06-16_ixbrl.htm,,455651.0,990938.0,535287.0
東宝株式会社,9602,E04583,S100VTOG,189403.0,663996.0,474593.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04583-000_2025-02-28_01_2025-05-29_ixbrl.htm,,189403.0,663996.0,474593.0
東京瓦斯株式会社,9531,E04514,S100W10L,138910.0,595403.0,456493.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04514-000_2025-03-31_01_2025-06-24_ixbrl.htm,,138910.0,595403.0,456493.0
第一生命ホールディングス株式会社,8750,E06141,S100VZZW,924722.0,1365464.0,440742.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E06141-000_2025-03-31_01_2025-06-19_ixbrl.htm,,924722.0,1365464.0,440742.0
東急不動産ホールディングス株式会社,3289,E27633,S100W5WX,749518.0,1182608.0,433090.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E27633-000_2025-03-31_01_2025-06-25_ixbrl.htm,,749518.0,1182608.0,433090.0
野村不動産ホールディングス株式会社,3231,E04060,S100W3XD,24953.0,448445.0,423492.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E04060-000_2025-03-31_01_2025-06-25_ixbrl.htm,,24953.0,448445.0,423492.0
みずほリース株式会社,8425,E05426,S100W17L,404256.0,732137.0,327881.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E05426-000_2025-03-31_01_2025-06-20_ixbrl.htm,,404256.0,732137.0,327881.0
